stateabbr,statedesc,countyname,countyfips,totalpopulation,obesity_crudeprev,lpa_crudeprev,csmoking_crudeprev,depression_crudeprev,bphigh_crudeprev,access2_crudeprev
TX,Texas,Hemphill,48211,3189,32.7,25.5,11.7,21.5,34.1,16.4
TX,Texas,Goliad,48175,7144,37,30.4,14.2,21.5,40.5,18.1
TX,Texas,Taylor,48441,146836,34.3,26.1,12.9,23.4,32.7,15.7
TX,Texas,El Paso,48141,869880,34,33.4,12.1,19.9,33.1,29
TX,Texas,Brazoria,48039,398938,36.3,25.6,11.6,19.9,34.6,16.2
TX,Texas,Castro,48069,7227,38.2,34.2,13.3,20.1,36.2,27.7
TX,Texas,Hansford,48195,5071,36.8,31,13.6,22,34.6,23.4
TX,Texas,Jackson,48239,15221,37.7,31.7,15,22.4,38.6,19.7
TX,Texas,Zapata,48505,13736,43.7,47.1,17.1,20.4,38.2,42.8
TX,Texas,King,48269,217,37.8,32.5,17.5,22.8,45,16.1
TX,Texas,Angelina,48005,87319,40.8,33.4,17.1,24.3,41.3,18.8
TX,Texas,Duval,48131,9604,41.2,41.1,14.8,19.4,38.4,35.4
TX,Texas,Limestone,48293,22250,39.7,32.8,16.6,22.8,41.9,18.1
TX,Texas,Lynn,48305,5761,38.6,32.5,15.9,22.9,37.5,21.9
TX,Texas,Gaines,48165,22523,36.1,31.8,16.4,23.8,30.8,25.6
TX,Texas,Medina,48325,54797,39.5,30.5,12.6,20.6,37.1,21.6
TX,Texas,Stonewall,48433,1218,35.8,32.2,15,22.1,42.7,17.2
TX,Texas,Presidio,48377,5795,41,43.7,14.6,18.7,42.9,34.8
TX,Texas,Hartley,48205,5145,34.5,26.8,13.4,20.7,34.9,18.8
TX,Texas,Dallam,48111,7237,39.6,35.6,16.9,22.3,35.1,27.4
TX,Texas,Cottle,48101,1294,40.6,35.4,17.6,22.6,45.1,19.7
TX,Texas,Runnels,48399,9868,35.9,31,14.3,21.9,38.2,19.3
TX,Texas,Webb,48479,269148,42.1,39.2,12.7,19.1,31.6,36.2
TX,Texas,Brooks,48047,6848,42.6,42.8,15.4,19.3,38.3,37.8
TX,Texas,Atascosa,48013,51784,42.2,35,13.7,20.7,36.8,27.4
TX,Texas,Kendall,48259,50537,34.3,21.2,10,20.4,34.9,11.5
TX,Texas,Fort Bend,48157,916778,30.1,24.3,9.8,17.5,31.8,12.6
TX,Texas,Smith,48423,245209,37.5,27,13.6,23.3,36.4,15.3
TX,Texas,Uvalde,48463,24960,40.1,34.5,13.1,20.6,35.5,28.5
TX,Texas,Navarro,48349,55635,38.1,32.9,16.6,23.3,38.4,20.8
TX,Texas,Lavaca,48285,20571,36.3,29.7,14.4,22.8,40.6,15.4
TX,Texas,Parmer,48369,9617,37,33.8,13.4,20.1,34.9,28.6
TX,Texas,Martin,48317,5216,36,29.3,14,22.2,32.3,21.8
TX,Texas,Childress,48075,6788,36.1,29.6,14.7,21.9,34,21.6
TX,Texas,Oldham,48359,1783,36.1,28.6,15.3,24.3,36.3,15
TX,Texas,Terrell,48443,687,33.8,26.8,9.2,17.9,39.6,16.8
TX,Texas,Comanche,48093,14050,36.7,30.5,14.5,22.5,40.1,18.1
TX,Texas,Mitchell,48335,9075,38.4,31.8,16,21,35.4,24.2
