STCNTY,COUNTY,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4
48001,Anderson County,0.585,0.1897,0.5059,0.9881
48003,Andrews County,0.7036,0.4625,0.7787,0.3953
48005,Angelina County,0.8498,0.92490000000000006,0.4625,0.92490000000000006
48007,Aransas County,0.502,0.1304,0.3281,0.8142
48009,Archer County,0.1502,0.2688,0.0079,0.0198
48011,Armstrong County,0.0158,0.1186,0.0119,0.0237
48013,Atascosa County,0.7312,0.7312,0.8379,0.8063
48015,Austin County,0.2372,0.5613,0.4427,0.5455
48017,Bailey County,0.4466,0.8735,0.8735,0.6443
48019,Bandera County,0.253,0.2846,0.1779,0.3755
48021,Bastrop County,0.5692,0.3557,0.664,0.668
48023,Baylor County,0.2292,0.3715,0.083,0.1818
48025,Bee County,0.8419,0.1225,0.8577,0.8814
48027,Bell County,0.6047,0.6008,0.6996,0.7273
48029,Bexar County,0.664,0.6601,0.8893,0.6957
48031,Blanco County,0.1225,0.0553,0.1739,0.0395
48033,Borden County,0.004,0.0751,0.0672,0.0988
48035,Bosque County,0.2411,0.4269,0.1502,0.3597
48037,Bowie County,0.4506,0.3281,0.3913,0.8933
48039,Brazoria County,0.1423,0.2332,0.6957,0.4585
48041,Brazos County,0.5336,0.004,0.5771,0.7628
48043,Brewster County,0.1779,0.1107,0.6206,0.7431
48045,Briscoe County,0.7708,0.6443,0.502,0.0158
48047,Brooks County,0.917,0.7154,0.9723,0.5573
48049,Brown County,0.4901,0.7233,0.2767,0.8617
48051,Burleson County,0.1344,0.3083,0.3676,0.4308
48053,Burnet County,0.2213,0.3123,0.2332,0.4783
48055,Caldwell County,0.6364,0.5217,0.8063,0.9763
48057,Calhoun County,0.0988,0.83,0.747,0.4387
48059,Callahan County,0.1897,0.1779,0.0474,0.0909
48061,Cameron County,0.9684,0.9012,0.9684,0.8221
48063,Camp County,0.8261,0.9328,0.5929,0.4506
48065,Carson County,0.0079,0.0316,0.0395,0.0553
48067,Cass County,0.5217,0.7036,0.1581,0.5138
48069,Castro County,0.6798,0.7194,0.8458,0.498
48071,Chambers County,0.2569,0.1542,0.3557,0.1423
48073,Cherokee County,0.8696,0.8063,0.4743,0.9368
48075,Childress County,0.8735,0.3123,0.6285,0.1621
48077,Clay County,0.0277,0.253,0.004,0.0711
48079,Cochran County,0.8775,0.8696,0.8182,0.6719
48081,Coke County,0.3676,0.5138,0.1897,0.2095
48083,Coleman County,0.5336,0.5573,0.1502,0.2846
48085,Collin County,0.0593,0.1028,0.6087,0.1462
48087,Collingsworth County,0.6838,0.9684,0.4308,0.4229
48089,Colorado County,0.3241,0.2213,0.5731,0.8538
48091,Comal County,0.0435,0.087,0.3399,0.1383
48093,Comanche County,0.5455,0.6285,0.3162,0.2451
48095,Concho County,0.1581,0.9565,0.581,0.5889
48097,Cooke County,0.1937,0.5415,0.1937,0.5257
48099,Coryell County,0.4387,0.1937,0.5217,0.5692
48101,Cottle County,0.4348,0.8063,0.4545,0.1186
48103,Crane County,0.3913,0.2964,0.8656,0.8775
48105,Crockett County,0.2174,0.5178,0.7391,0.1107
48107,Crosby County,0.7787,0.9842,0.7866,0.5731
48109,Culberson County,0.6126,0.6917,0.9407,0.6482
48111,Dallam County,0.6245,0.2174,0.6759,0.4427
48113,Dallas County,0.8577,0.5296,0.8854,0.7391
48115,Dawson County,0.9723,0.7549,0.8379,0.5375
48117,Deaf Smith County,0.6522,0.7826,0.9091,0.3478
48119,Delta County,0.3241,0.1344,0.1067,0.0435
48121,Denton County,0.0909,0.0632,0.5494,0.2134
48123,DeWitt County,0.5889,0.1502,0.6008,0.7708
48125,Dickens County,0.5731,0.6166,0.4704,0.1344
48127,Dimmit County,0.9328,0.996,0.9605,0.9684
48129,Donley County,0.2016,0.0198,0.1225,0.3162
48131,Duval County,0.834,0.917,0.9565,0.8024
48133,Eastland County,0.4783,0.4941,0.1186,0.6877
48135,Ector County,0.8933,0.6522,0.8617,0.8972
48137,Edwards County,0.8379,0.5375,0.6561,0.166
48139,Ellis County,0.1858,0.4387,0.5138,0.2332
48141,El Paso County,0.9605,0.8577,0.9447,0.747
48143,Erath County,0.6443,0.0514,0.2095,0.7668
48145,Falls County,0.9091,0.1462,0.6522,0.9644
48147,Fannin County,0.3992,0.0711,0.1304,0.5059
48149,Fayette County,0.0791,0.1818,0.2727,0.5099
48151,Fisher County,0.0553,0.7273,0.4348,0.0632
48153,Floyd County,0.7589,0.9644,0.8103,0.1304
48155,Foard County,0.747,0.2925,0.3083,0.0949
48157,Fort Bend County,0.0988,0.2767,0.8538,0.1739
48159,Franklin County,0.1383,0.3834,0.1344,0.0474
48161,Freestone County,0.2885,0.5771,0.3439,0.585
48163,Frio County,0.6996,0.6759,0.9328,0.996
48165,Gaines County,0.6126,0.6443,0.581,0.5336
48167,Galveston County,0.3715,0.2253,0.5573,0.498
48169,Garza County,0.7154,0.332,0.7589,0.4071
48171,Gillespie County,0.3439,0.415,0.2174,0.581
48173,Glasscock County,0.1146,0.336,0.3518,0.1067
48175,Goliad County,0.1818,0.17,0.4941,0.3834
48177,Gonzales County,0.498,0.9447,0.7668,0.9289
48179,Gray County,0.8221,0.6364,0.419,0.3518
48181,Grayson County,0.3202,0.3913,0.1858,0.419
48183,Gregg County,0.5138,0.5494,0.5375,0.6285
48185,Grimes County,0.6957,0.4348,0.4862,0.7826
48187,Guadalupe County,0.0949,0.2292,0.668,0.3281
48189,Hale County,0.9012,0.8419,0.834,0.6126
48191,Hall County,0.751,0.9209,0.5889,0.2925
48193,Hamilton County,0.2767,0.7628,0.0553,0.2016
48195,Hansford County,0.4427,0.3478,0.6601,0.1146
48197,Hardeman County,0.1107,0.6957,0.3478,0.0791
48199,Hardin County,0.2134,0.5613,0.0316,0.4862
48201,Harris County,0.9051,0.581,0.8814,0.6759
48203,Harrison County,0.5099,0.7708,0.4071,0.7747
48205,Hartley County,0.3123,0.0079,0.4545,0.415
48207,Haskell County,0.7826,0.664,0.3597,0.3202
48209,Hays County,0.3478,0.0237,0.6324,0.5296
